Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.    a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
Hlutfallslegi stöðugleikinn væri eitt af grundvallarlögmálum sjávarútvegsstefnunnar sem ríkin hefðu komið sér saman um á sínum tíma og hann yrði vissulega til umræðu við heildarendurskoðunina.	a	l	e	x	a	n	d	r	e	l	2	1
